btCode,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
A01SN,A057X; A057Y; A0C78; A0C7A,A0BYZ; A069H,A06JB,A042Z,,,,,,,,,,,,,,,,,A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,,A07HS; A07KQ; A0BA1; A07KT; A07KP; A0C0R; A0C0S; A0BYM,,,,A0C8Z; A0C9A,A0C3K; A0C3H; A0C3L
A01SP,A057Z; A0C77; A0C78; A0C7A,A069H; A07XQ; A07XS; A0BYZ; A0EJX; A0CEY; A069N; A06BR; A06AG,A06HY; A06HZ; A06JA,A01SP; A042Z,,,,,,,,,,,,,,A07NY,A16RY; A07PR; A07PS,A07QM; A0F4V; A0F4T; A07QQ,A07RV; A07RZ; A07SC; A07SD; A07SE; A0C6Q; A0C6Y; A0C6R,,A07TD,A07VP; A07VQ,,A07XD,A01SP,A07GR; A07GZ; A07HK; A07HS; A07KP; A07KQ; A07KX; A0BA1; A0C0S; A0EJY; A07KD; A07GG; A07GY; A07JK; A0BYM,,,A16NG; A0C8P; A0CSD,A0C8Z; A0C9B; A0C9A,A0C3L; A0C3M; A0C3H; A167C
A01SQ,A058A; A0CAQ,A069H; A07XS; A0BYZ; A0CEY; A06AC; A06AG; A07XQ,A06HY; A06HZ; A06JA; A06JB,,,,,,,A06HQ,,,,,,,,A07NY,A07PR; A07PG; A07PL; A07PP; A07PX,A07QM; A07QQ; A0F4T; A0F4V,A07SC; A07SE; A0C6Q; A0C6Y; A0C6R; A07RV; A07RZ,,A07TD,A07VQ,,A07XD,A01SQ,A07HS; A07KP; A07KQ; A0C0S; A07GY; A07HK; A07JK; A0BYM,,,A0C8P,A0C8Z; A0C9A,A0C3M
A01SR,A058B; A0CAY; A0CAZ,A069H; A07XQ; A0BYZ; A06AG; A0CEY; A06AC; A07XS,A06HY; A06HZ,,,,,,,,,,,,,,,A07NY,A07PL,A07QM; A07QQ; A0F4V,A07RY; A07SC; A07SE; A0C6Q; A0C6Y,,A07TD,A07VQ,,A07XD,A01SR,A07HS; A07KQ; A0BA1; A0C0S,,,,A0C8Z; A0C9A,A167C
A01SS,A058C,A07XQ; A069H; A0BYZ; A07XS,A06HY; A06HZ,,,,,,,,,,,,,,,A07NY,,A07QM,A07SD; A07RZ; A0C6Y,,A07TD,,,A07XD,,A07HS; A07KQ; A0C0S; A07JK,,,,,
A01ST,A058D,A0BYZ; A069H,A06HZ,,,,,,,,,,,,,,,A07NY,,,A07RV; A0C6Y,,A07TD,A07VQ,,A07XD,A01ST,A07HS; A0C0S; A07JK,,,,A0C8Z; A0C9A,
A01SV,A058B; A0C7A,A069H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01SX,,,,,,,,,,,,,,,,,,,,A07QM; A07QQ; A0F4V,A07SC; A0C6Q,,A07TD,,,,,A0C0S,,,,,
A01SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01SZ,A058G,A069H; A0BYZ,,,,,,,,,,,,,,,,,,,A07RV; A07RY,,A07TD,,,,A01SZ,A0C0S,,,,,
A01TA,A058H,A0BYZ; A069H; A069M,,,,,,,,,,,,,,,,,,,A07RV; A07RY,,A07TD,,,,,A0C0S,,,,A0C8Z; A0C9A,
A01TB,A058J,A069H; A069M; A0BYZ,,,,,,,,,,,,,,,,,,A0F4V,A07RV; A07RY,,A07TD,,,,,A0C0S,,,,,
A01TE,,,,,,,,,,,,,,,,,,,A07PR,,,,,,,,,,,,,,
A01TG,A058N,A069H,A06HY,,,,,,,,,,,,,,,,A07PR,,A07RY,,,,,A07XD,,A07HS; A0C0S,,,,,
A01TN,,A06GH,A06JA,A0BXT,,,,,,,,,,,,,,,,,A07RV; A07RY,,,,,A07XD,,A07HS,,,,,A0C3M
A01TR,,,,,,,,,,,,,,,,,,,,,,,,,,A07XD,,A0C0S,,,,,
A01TT,A056M; A057G; A057T; A057Z; A058A; A058B; A0B9Z; A0C9F; A0C9L,A069J,,,,,,,,,,,,,,,,,,,A07RY,,,,,,,,,,A0C8V,,
A01TX,A057E; A0C9F; A0C9L; A0C9M; A0F1V,A069J; A0F1B,,,,,,,,,,,,,,,,,,A0F4T,A0C6Y,,A07TD,,,,,A07HS; A07KQ; A0C0S,,,A0C8X; A0C8V; A0CSD,A0C8Z; A0C9A; A0C9B; A0C7H,
A01TY,A057E; A0C9E; A0C9F; A0C9G; A0C9H; A0C9K; A0C9L; A0C9M; A0C9P; A0C9Q; A0C9S; A0C9T; A0CHK,A069J; A0F1B,,,,,,,,,,,,,,,,,,A0F4T,A07RV; A07SE,,A07TD,,,A07XD,A01TY,A07HS; A0C0S,A0C7G,,A0C8S; A0C8V; A0C8X; A0CSD,A0C8Z; A0C9A; A0C7H,
A01VA,A057F; A057G; A0C9X; A0C9Y,A0F1B; A069J,,,,,,,,,,,,,,,,,A07PR,,A0C6Y,,A07TD,,,A07XD,A01VA,A07HS; A0C0R; A0C0S; A07KQ,,A0C7L,A0C8X; A0CSD,A0C8Z; A0C9A; A0C9B; A0C7H,
A01VB,A057G; A0CDA; A0CDB; A0CDD; A0CDE,A069J; A0F1B; A069N,,,,,,,,,,,,,,,,,,A0F4T,A0C6Q; A0C6Y,,A07TD,,,A07XD,A01VB,A07HS; A0C0S; A07KQ,,,A0C8X,A0C8Z; A0C9A,
A01VC,A057P; A0CDH; A0CDK,A0F1B; A069J,,,,,,,,,,,,,,,,,,,,,A07TD,,,,,A07HS; A0C0S,,,A0C8X,A0C8Z; A0C9A,
A01VD,A0B9Z; A0BA3,A069J,,,,,,,,,,,,,,,,,,,A07RV,,A07TD,,,,,A07HS; A0C0S; A07KQ,,,A0C8S; A16NK; A0C8V,A0C7H; A0C8Z; A0C9A,
A01VE,A0B9Z,A069J; A0F1B,,,,,,,,,,,,,,,,,,A0F4T,A07RV,,A07TD,,,A07XD,,A07HS; A0C0S,,,A0C8S,A0C7H; A0C8Z; A0C9A,
A01VG,A057T,A069J,,,,,,,,,,,,,,,,,,,,,,,,A07XD,,A07HS,,,,A0C8Z,
A01VL,A056M; A056P; A056R; A0CEM,A06AR; A069J,,A01VL,,,,,,,,,,,,,,,,,A07RV; A07RY,,,,,A07XD,A01VL,A07HS,,,,A0C8Z; A0C9A,
A01VM,A056Y,A069J,,,,,,,,,,,,,,,,,A07PR,,A07RV; A07RY,,,,,A07XD,,A07HS; A0C0S; A07JK,,,,A0C8Z; A0C9A,
A01VN,A056X,A069J,,,,,,,,,,,,,,,,,,,,,,,,,A01VN,,,,,,
A01VQ,A057Y; A058E; A058J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0C8Z,
A01VR,A057Z; A0C78; A0C7A,A069J; A069H; A0F1B,,,,,,,,,,,,,,,,,,,A07SE; A0C6Q; A0C6Y,,,,,,A01VR,A07HS; A0C0S,,,,A0C8Z; A0C9A,
A01VS,A058A; A0CAQ,A069J,,,,,,,,,,,,,,,,,,,A0C6Q,,,,,A07XD,,A07HS; A0C0S,,,,A0C8Z; A0C9A,
A01VT,A058B,A069J,,,,,,,,,,,,,,,,,,,A0C6Q,,,,,A07XD,,A07GR; A07HS; A0C0S,,,,,
A01VV,,,,,,,,,,,,,,,,,,,,,A0C6Q; A0C6S,,,,,,,A0C0R,,,,,
A01VX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01XA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01XD,A056N; A057E; A057F; A057G; A058D; A058G; A0B9Z,A069M,,,,,,,,,,,,,,,,,,,A07RV; A0C6Y,,A07TD,,,,,A07KT; A0C0S,,,A0C8R; A0C8X,A0C8Z; A0C9A,
A01XF,A057E; A057F; A0C9E; A0C9F; A0C9G; A0C9L; A0C9M; A0C9P; A0CHK; A0F1V,A069M; A069J,,,,,,,,,,,,,,,,,,,A07RV; A07SE; A0C6Q,,A07TD,,,,A01XF,A07HS; A0C0S; A0C0R,A0C7G,,A0C8V; A0C8S; A0CSD,A0C8Z; A0C9A; A0C9B; A0C7H,
